caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
31dec1925,,,,,15236829.5,89,,,12.46,
30jan1926,-.001783081,-.003979716,.006457145,.003249569,15277664,89,15236829.5,79,12.74,.02247191
27feb1926,-.03329646,-.03787568,-.03997914,-.04245058,14712894.9,89,15277664,81,12.18,-.04395605
31mar1926,-.0577079,-.06200729,-.06791501,-.07327473,14012079.2,89,14712894.9,81,11.46,-.0591133
30apr1926,.03852234,.03485585,.03144085,.02712134,14500482.2,89,14012079.2,82,11.72,.02268761
28may1926,.01362326,.009069733,.01201107,.009514593,14778795.5,89,14500482.2,82,11.81,.007679181
30jun1926,.05642665,.05019601,.05214161,.04535276,15554633.5,89,14762818,83,12.32,.04318374
31jul1926,.04040314,.0381681,.03754694,.03392965,16180459.2,89,15545083.5,82,12.88,.04545455
31aug1926,.02982192,.02574676,.01892423,.01637997,16743393.6,89,16180459.2,83,13.1,.01708074
30sep1926,.01342017,.009121955,.01403687,.008582386,16835120.4,89,16687393.6,83,13.4,.02290076
30oct1926,-.03017168,-.03243385,-.02589104,-.02892275,16275309.3,89,16692236.8,81,12.98,-.03134328
30nov1926,.02693683,.01936661,.03650711,.03333002,16907546.6,89,16217044.3,82,13.27,.02234207
31dec1926,.02604734,.02032064,.02120253,.01431532,17028798.8,89,16907546.6,84,13.49,.01657875
31jan1927,-.002910215,-.005578959,-.00395484,-.007715483,17018724.4,89,17028798.8,84,13.21,-.02075612
28feb1927,.04552164,.04056635,.04342826,.04092246,17776303.5,89,17018724.4,85,13.84,.04769114
31mar1927,.007324372,.002610089,-.01005169,-.01560073,17883291.6,89,17776303.5,85,13.93,.00650289
30apr1927,.01302062,.01090655,.006899801,.003889602,18088304.2,89,17883291.6,85,14.17,.017229
31may1927,.06235265,.05709578,.06440683,.06141862,19323089.5,89,18076286.8,84,14.91,.05222301
30jun1927,-.02036983,-.02570527,-.02692043,-.0326905,18855819.6,89,19323089.5,85,14.77,-.009389671
30jul1927,.08444999,.08168719,.06744362,.06384782,20355724.1,89,18855819.6,86,15.73,.06499662
31aug1927,.03332036,.02862443,.02611497,.0233855,21138727.1,89,20355724.1,86,16.43,.04450095
30sep1927,.05301614,.04909533,.05795908,.05293503,22117908.2,89,21127204.6,86,17.14,.04321363
