permno,start,ending
10006,01mar1957,18jul1984
10030,01mar1957,08jan1969
10049,31dec1925,01oct1932
10057,01mar1957,02jul1992
10078,20aug1992,28jan2010
10102,01mar1957,05feb1975
10104,03aug1989,31dec2018
10107,07jun1994,31dec2018
10108,22jul2002,11aug2005
10137,31dec1925,30jun1976
10137,11dec2000,25feb2011
10138,13oct1999,31dec2018
10145,31dec1925,31dec2018
10147,28mar1996,07sep2016
10153,31dec1925,07jun1944
10153,01mar1957,13mar1963
10153,30jun1977,08jul1987
10161,01mar1957,12nov1993
10196,07jun1944,26feb1947
10209,01mar1957,16oct1963
10225,31dec1925,30apr2014
10233,31dec1925,28mar1933
10233,01mar1957,10jul1957
10233,21aug1957,25mar1959
10233,15may1969,08jan1986
10241,31dec1925,21dec1988
10276,01mar1957,28feb1973
10292,01mar1957,26sep1962
10299,03apr2000,10mar2017
10321,01mar1957,05aug1987
10324,14dec2001,01apr2011
10353,01oct1999,11may2001
10364,31dec1925,26oct1999
10372,31dec1925,20aug1941
10372,26feb1947,27apr1988
10401,01mar1957,18nov2005
10436,01mar1957,23jun1971
10452,31dec1925,07jun1944
10479,31dec1925,20aug1941
10479,01mar1957,28feb1973
10479,02mar1978,15feb1984
10487,01mar1957,07may1986
10495,31dec1925,30jun1950
10495,01mar1957,19jan1977
10516,01mar1957,22apr1970
10516,30jul1981,31dec2018
10524,31dec1925,13jan1971
10559,01mar1957,08oct1986
10562,01jul2004,29jan2009
10575,31dec1925,20aug1968
10591,31dec1925,28jun1967
10604,01mar1957,17apr2000
10623,23apr1987,13apr1988
10693,07jan1997,20mar2003
10696,02apr2001,31dec2018
10725,19jun2000,31aug2004
10727,01mar1957,24jun1970
10735,01mar1957,17jan1968
10751,01mar1957,02feb1983
10778,01mar1957,24sep1958
10786,31dec1925,08dec2000
10791,18jan1994,20jun2000
10807,31dec1925,20apr1954
10807,01mar1957,20oct1965
10823,24aug1928,06sep1951
10823,01mar1957,30nov1983
10831,31dec1925,24aug1928
10858,31dec1925,15apr1940
10866,01mar1957,19jul1996
10874,01mar1973,20jun2008
10890,31dec1925,20aug1941
10890,20apr1954,10nov2008
10909,30apr2010,31dec2018
10942,27oct1999,31jan2007
10970,03jul1950,13feb1980
10989,01mar1957,02oct2000
11033,21jun1961,08may1968
11041,31dec1925,22jun1953
11041,22oct1964,30jun1976
11042,01apr1996,14may2002
11068,01mar1957,12aug1970
11081,06sep1996,28oct2013
11092,01mar1957,03mar1976
11148,15apr1939,22jun1953
11148,04jun1958,03jul1968
11156,31dec1925,05nov1980
11164,01mar1957,17dec1986
11199,31dec1925,15apr1939
11260,26nov1928,12nov1998
11287,31dec1925,20aug1941
11287,01mar1957,06jan1965
11295,01mar1957,22jan1986
11308,01mar1957,31dec2018
11332,30nov1967,22apr1970
11332,24oct1985,08jun1988
11340,31dec1925,01nov2000
11359,01mar1957,07feb1962
11367,20apr1954,20aug1968
11375,01mar1957,03feb1960
11375,14mar1963,16jul1968
11391,01mar1957,17jan1968
11403,18sep2017,31dec2018
11404,31dec1925,31dec2018
11415,27feb2006,22dec2008
11439,01mar1957,28sep1966
11447,01mar1957,03oct1984
11471,01mar1957,14oct1981
11527,01mar1957,10sep1968
11543,01mar1957,18aug1971
11552,06nov2006,31dec2018
11600,14nov2008,31dec2018
11607,01mar1957,02mar2006
11618,15sep2008,31dec2018
11626,01jul1993,20sep1994
11658,01mar1957,07feb1979
11666,31dec1925,22jun1953
11674,31dec1925,31dec2018
11682,31dec1925,23nov1928
11690,01mar1957,19aug1987
11703,01mar1957,31aug2017
11746,27jun1963,14nov1973
11754,31dec1925,17dec2010
11762,01mar1957,31dec2018
11770,01mar1957,26jun1963
11786,19mar2018,31dec2018
11789,16nov1931,06jul1949
11826,31dec1925,07jun1944
11826,01mar1957,24jun1970
11834,07jun1944,04jun1958
11850,31dec1925,31dec2018
11891,26jul2017,31dec2018
11896,10may2000,26sep2007
11896,03dec2018,31dec2018
11949,01mar1957,30may1973
11955,17jul1998,31dec2018
11970,01jun2000,14feb2007
11976,01oct1998,10sep2013
11981,01mar1957,13sep1972
11983,31jan2000,12nov2003
11997,13dec1993,18nov2002
12044,01mar1957,24jun1970
12052,01mar1957,31dec2018
12060,31dec1925,30jun1950
12060,01mar1957,31dec2018
12062,01nov2004,31dec2018
12067,19jun2000,04jun2012
12073,13nov2008,31dec2018
12076,29jul2015,16mar2018
12079,31dec1925,02jun2009
12095,01mar1957,06oct1998
12124,01mar1957,01aug1973
12140,01mar1957,30jul2012
12167,01mar1957,10dec1975
12183,31dec1925,04mar1970
12191,01mar1957,15jan1968
12212,01mar1957,28dec1960
12220,01mar1957,04jun1958
12298,15apr1940,07jun1944
12308,08sep2016,31dec2018
12319,01mar1957,14dec2001
12343,01mar1957,27may1959
12343,16jan1964,13aug1975
12345,05sep2012,31dec2018
12369,07jun2013,31dec2018
12394,31dec1925,22mar1963
12431,01mar1957,30jun2009
12431,17nov2010,31dec2018
12449,20jun2018,31dec2018
12456,04jan2011,24may2012
12458,01mar1957,30jun1998
12466,01mar1957,23aug1978
12474,31dec1925,15apr1940
12490,01mar1957,31dec2018
12503,31dec1925,19dec2006
12511,01mar1957,06jan1965
12511,06feb1975,17oct2000
12542,09jul2013,31dec2018
12546,31dec1925,19jul2002
12558,25may2012,31dec2018
12570,31dec1925,20aug1941
12570,01mar1957,31oct2011
12618,01mar1957,03jul1957
12622,27jan2015,31dec2018
12623,03jan2018,31dec2018
